items,nic_gbp,month
229079,481422.75,2020-01-01
210567,444513.24,2020-02-01
227236,572463.38,2020-03-01
232663,617737.75,2020-04-01
267719,730669.8,2020-05-01
298900,763763.44,2020-06-01
296204,728364.92,2020-07-01
257079,589051.01,2020-08-01
275461,623447.67,2020-09-01
282215,661705.67,2020-10-01
271627,607671.54,2020-11-01
283882,634425.27,2020-12-01
251874,549380.43,2021-01-01
240300,521567.39,2021-02-01
272301,597690.06,2021-03-01
244282,539846.31,2021-04-01
239428,529601.4,2021-05-01
241887,530879.92,2021-06-01
237634,433522.64,2021-07-01
226777,409650.34,2021-08-01
237373,428885.78,2021-09-01
232963,410200.97,2021-10-01
241513,428167.54,2021-11-01
243281,427714.09,2021-12-01
231045,418817.82,2022-01-01
227404,413591.21,2022-02-01
253883,443637.81,2022-03-01
215856,364590.12,2022-04-01
231847,394332.55,2022-05-01
220089,388680.79,2022-06-01
212621,439652.75,2022-07-01
211875,432184.76,2022-08-01
217842,448763.74,2022-09-01
218862,467192.74,2022-10-01
225053,542380.41,2022-11-01
222496,894986.17,2022-12-01
225995,773676.65,2023-01-01
206159,589491.12,2023-02-01
237427,725578.59,2023-03-01
190719,526179.04,2023-04-01
209290,536540.59,2023-05-01
208853,516867.02,2023-06-01
205092,520048.48,2023-07-01
202532,512464.53,2023-08-01
198019,500866.28,2023-09-01
207504,419466.46,2023-10-01
209168,419914.91,2023-11-01
206741,415914.14,2023-12-01
