total_items,amoxicillin,azithromycin,cephalosporins,clarithromycin,clindamycin,co_amoxiclav,erythromycin,metronidazole,phenoxymethylpenicillin,tetracyclines,icb_name,month
2595,1763,0,4,11,29,4,40,717,24,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-01-01
2517,1707,0,3,6,27,6,45,707,15,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-02-01
2897,1918,2,2,14,22,7,49,853,24,6,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-03-01
2499,1704,0,3,11,24,7,42,696,12,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-04-01
2689,1855,1,3,10,20,3,60,715,17,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-05-01
2460,1677,0,3,5,18,3,47,693,9,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-06-01
2496,1722,0,3,12,15,6,46,679,13,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-07-01
2545,1720,2,5,15,32,8,55,698,8,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-08-01
2480,1718,1,0,16,14,4,49,669,7,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-09-01
2505,1701,2,1,6,11,6,46,712,19,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-10-01
2486,1660,1,1,8,22,4,58,711,18,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-11-01
2519,1698,0,2,13,24,6,65,690,16,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-12-01
2884,1956,0,1,9,13,3,51,823,21,7,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-01-01
2495,1708,3,0,7,23,7,42,680,20,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-02-01
2739,1820,2,1,10,22,5,66,768,41,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-03-01
2227,1465,0,2,5,10,9,45,655,34,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-04-01
2429,1603,5,0,11,19,10,41,707,30,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-05-01
2486,1698,4,1,10,25,7,35,684,20,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-06-01
2320,1562,0,2,7,22,6,48,657,14,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-07-01
2335,1586,0,0,5,15,5,31,676,16,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-08-01
2418,1645,2,1,3,25,7,42,678,14,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-09-01
2226,1543,2,2,6,14,12,42,583,18,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-10-01
2573,1689,0,3,5,13,5,70,769,16,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-11-01
2442,1632,2,1,13,16,6,53,686,28,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-12-01
2556,1722,0,1,7,23,5,52,714,28,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-01-01
2418,1614,1,1,8,20,7,57,682,24,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-02-01
2527,1690,3,2,8,24,5,66,694,33,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-03-01
2458,1613,0,1,2,23,18,52,693,52,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-04-01
2452,1639,3,1,8,19,7,39,700,35,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-05-01
2284,1532,0,1,9,31,8,40,629,31,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-06-01
2426,1608,1,0,8,14,11,42,698,41,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-07-01
2257,1521,0,1,9,15,3,34,631,41,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-08-01
2224,1473,1,3,5,25,13,26,638,38,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-09-01
2260,1488,0,0,9,26,10,47,647,31,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-10-01
2311,1556,0,2,10,22,6,41,631,41,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-11-01
2416,1569,1,0,16,21,9,42,701,54,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-12-01
2360,1543,0,0,6,15,8,58,684,45,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-01-01
2089,1390,2,0,7,18,11,39,575,45,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-02-01
2111,1446,3,2,14,21,3,40,532,50,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-03-01
2151,1434,3,0,8,19,4,36,598,48,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-04-01
2167,1442,5,2,10,18,4,30,605,50,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-05-01
2203,1470,3,0,7,27,9,33,607,45,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-06-01
2166,1453,3,0,10,13,9,20,610,47,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-07-01
2040,1335,5,0,17,16,7,36,581,41,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-08-01
2093,1410,2,1,7,18,5,25,565,57,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-09-01
2109,1377,2,0,6,18,13,43,587,61,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-10-01
2114,1400,1,0,5,22,3,39,584,55,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-11-01
2368,1565,2,0,10,17,17,42,635,74,6,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2025-12-01
2418,1575,0,0,12,28,9,38,672,81,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2026-01-01
2408,1639,4,1,7,17,16,30,640,50,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2026-02-01
4046,2775,4,7,21,10,9,99,1104,16,1,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",2022-01-01
3739,2537,4,3,21,20,6,97,1029,14,8,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",2022-02-01
4180,2913,2,5,17,22,19,75,1110,14,3,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES INTEGRATED CARE BOARD",2022-03-01
