total_items,amoxicillin,azithromycin,cephalosporins,clarithromycin,clindamycin,co_amoxiclav,erythromycin,metronidazole,phenoxymethylpenicillin,tetracyclines,icb_name,month,population,f1_coamox_rate,f2_amox_coamox_ratio,f3_items_per_1000,f4_mom_change,f5_coamox_zscore
2595,1763,0,4,11,29,4,40,717,24,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-01-01,941353,0.1541,352.6,2.7567,0.0,-1.0902
2517,1707,0,3,6,27,6,45,707,15,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-02-01,941353,0.2384,243.8571,2.6738,-3.0058,-0.7962
2897,1918,2,2,14,22,7,49,853,24,6,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-03-01,941353,0.2416,239.75,3.0775,15.0973,-0.9041
2499,1704,0,3,11,24,7,42,696,12,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-04-01,941353,0.2801,213.0,2.6547,-13.7384,-0.814
2689,1855,1,3,10,20,3,60,715,17,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-05-01,941353,0.1116,463.75,2.8565,7.603,-1.397
2460,1677,0,3,5,18,3,47,693,9,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-06-01,941353,0.122,419.25,2.6133,-8.5162,-1.2786
2496,1722,0,3,12,15,6,46,679,13,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-07-01,941353,0.2404,246.0,2.6515,1.4634,-0.8736
2545,1720,2,5,15,32,8,55,698,8,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-08-01,941353,0.3143,191.1111,2.7036,1.9631,-0.4584
2480,1718,1,0,16,14,4,49,669,7,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-09-01,941353,0.1613,343.6,2.6345,-2.554,-1.108
2505,1701,2,1,6,11,6,46,712,19,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-10-01,941353,0.2395,243.0,2.6611,1.0081,-0.7783
2486,1660,1,1,8,22,4,58,711,18,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-11-01,941353,0.1609,332.0,2.6409,-0.7585,-1.3337
2519,1698,0,2,13,24,6,65,690,16,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-12-01,941353,0.2382,242.5714,2.6759,1.3274,-0.8102
2884,1956,0,1,9,13,3,51,823,21,7,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-01-01,941353,0.104,489.0,3.0637,14.4899,-1.3179
2495,1708,3,0,7,23,7,42,680,20,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-02-01,941353,0.2806,213.5,2.6504,-13.4882,-0.4693
2739,1820,2,1,10,22,5,66,768,41,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-03-01,941353,0.1825,303.3333,2.9096,9.7796,-1.0014
2227,1465,0,2,5,10,9,45,655,34,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-04-01,941353,0.4041,146.5,2.3657,-18.693,-0.1904
2429,1603,5,0,11,19,10,41,707,30,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-05-01,941353,0.4117,145.7273,2.5803,9.0705,-0.0914
2486,1698,4,1,10,25,7,35,684,20,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-06-01,941353,0.2816,212.25,2.6409,2.3466,-0.5184
2320,1562,0,2,7,22,6,48,657,14,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-07-01,941353,0.2586,223.1429,2.4645,-6.6774,-0.714
2335,1586,0,0,5,15,5,31,676,16,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-08-01,941353,0.2141,264.3333,2.4805,0.6466,-0.838
2418,1645,2,1,3,25,7,42,678,14,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-09-01,941353,0.2895,205.625,2.5686,3.5546,-0.5092
2226,1543,2,2,6,14,12,42,583,18,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-10-01,941353,0.5391,118.6923,2.3647,-7.9404,0.4315
2573,1689,0,3,5,13,5,70,769,16,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-11-01,941353,0.1943,281.5,2.7333,15.5885,-0.9264
2442,1632,2,1,13,16,6,53,686,28,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-12-01,941353,0.2457,233.1429,2.5941,-5.0913,-0.8107
2556,1722,0,1,7,23,5,52,714,28,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-01-01,941353,0.1956,287.0,2.7152,4.6683,-0.9737
2418,1614,1,1,8,20,7,57,682,24,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-02-01,941353,0.2895,201.75,2.5686,-5.3991,-0.5198
2527,1690,3,2,8,24,5,66,694,33,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-03-01,941353,0.1979,281.6667,2.6844,4.5079,-0.8592
2458,1613,0,1,2,23,18,52,693,52,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-04-01,941353,0.7323,84.8947,2.6111,-2.7305,0.9488
2452,1639,3,1,8,19,7,39,700,35,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-05-01,941353,0.2855,204.875,2.6048,-0.2441,-0.6038
2284,1532,0,1,9,31,8,40,629,31,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-06-01,941353,0.3503,170.2222,2.4263,-6.8515,-0.3789
2426,1608,1,0,8,14,11,42,698,41,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-07-01,941353,0.4534,134.0,2.5771,6.2172,-0.0172
2257,1521,0,1,9,15,3,34,631,41,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-08-01,941353,0.1329,380.25,2.3976,-6.9662,-1.1664
2224,1473,1,3,5,25,13,26,638,38,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-09-01,941353,0.5845,105.2143,2.3626,-1.4621,0.4529
2260,1488,0,0,9,26,10,47,647,31,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-10-01,941353,0.4425,135.2727,2.4008,1.6187,-0.0203
