total_items,amoxicillin,azithromycin,cephalosporins,clarithromycin,clindamycin,co_amoxiclav,erythromycin,metronidazole,phenoxymethylpenicillin,tetracyclines,icb_name,month,population,f1_coamox_rate,f2_amox_coamox_ratio,f3_items_per_1000,f4_mom_change,f5_coamox_zscore,anomaly_score,anomaly_flag,is_anomaly,guideline_coamox_flag,guideline_ratio_flag,guideline_volume_flag,any_guideline_flag,shap_f1_coamox_rate,shap_f2_amox_coamox_ratio,shap_f3_items_per_1000,shap_f4_mom_change,shap_f5_coamox_zscore
2595,1763,0,4,11,29,4,40,717,24,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-01-01,941353,0.1541,352.6,2.7567,0.0,-1.0902,0.10556054710431295,1,0,0,0,0,0,-0.29008546104085736,-0.7936110920641374,0.24307327795821376,0.4813127729078642,-0.2656583993114231
2517,1707,0,3,6,27,6,45,707,15,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-02-01,941353,0.2384,243.8571,2.6738,-3.0058,-0.7962,0.15796914201157608,1,0,0,0,0,0,0.27774562061615965,0.033998261937807105,0.14416265076426113,0.40489376401861327,0.3264158105028778
2897,1918,2,2,14,22,7,49,853,24,6,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-03-01,941353,0.2416,239.75,3.0775,15.0973,-0.9041,0.0889380455193618,1,0,0,0,0,0,0.19537607580312197,-0.012449849833302077,0.30846427633494267,-1.7022475169424836,0.05461816533815543
2499,1704,0,3,11,24,7,42,696,12,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-04-01,941353,0.2801,213.0,2.6547,-13.7384,-0.814,0.11210704058420878,1,0,0,0,0,0,0.2274513629088507,0.12457510925996516,0.1023744762584218,-1.04747598609182,0.18269403628981531
2689,1855,1,3,10,20,3,60,715,17,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-05-01,941353,0.1116,463.75,2.8565,7.603,-1.397,0.012209384932898248,1,0,0,0,0,0,-0.74588069714142,-1.8484140512099938,0.2698120241797625,-0.14922677224209288,-0.9140306046446687
2460,1677,0,3,5,18,3,47,693,9,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-06-01,941353,0.122,419.25,2.6133,-8.5162,-1.2786,0.048568413853856796,1,0,0,0,0,0,-0.5643704960718515,-1.358356018056745,0.10291970052817956,0.03349815944352742,-0.5858503423696245
2496,1722,0,3,12,15,6,46,679,13,0,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-07-01,941353,0.2404,246.0,2.6515,1.4634,-0.8736,0.15520282142343444,1,0,0,0,0,0,0.26954901313750457,0.029381424255255115,0.11822922655189984,0.4950465646274138,0.17359350236971455
2545,1720,2,5,15,32,8,55,698,8,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-08-01,941353,0.3143,191.1111,2.7036,1.9631,-0.4584,0.17077751550316045,1,0,0,0,0,0,0.37402687941304236,0.25573342527897547,0.08499524440684025,0.4641490883706693,0.48716947045274356
2480,1718,1,0,16,14,4,49,669,7,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-09-01,941353,0.1613,343.6,2.6345,-2.554,-1.108,0.10320512815366112,1,0,0,0,0,0,-0.19646036335287143,-0.6979407829228479,0.07129006983533145,0.4060809790676477,-0.2843913677277307
2505,1701,2,1,6,11,6,46,712,19,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-10-01,941353,0.2395,243.0,2.6611,1.0081,-0.7783,0.16009818657104874,1,0,0,0,0,0,0.28805649938711636,0.025977910283868956,0.10829282914683667,0.5010784611723642,0.34234019546629835
2486,1660,1,1,8,22,4,58,711,18,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-11-01,941353,0.1609,332.0,2.6409,-0.7585,-1.3337,0.08299035093812496,1,0,0,0,0,0,-0.26622639094680145,-0.6412949973060531,0.06362673321139845,0.47467538914772944,-0.9725677403559536
2519,1698,0,2,13,24,6,65,690,16,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2022-12-01,941353,0.2382,242.5714,2.6759,1.3274,-0.8102,0.15877892922052056,1,0,0,0,0,0,0.27498787053740337,0.024258496831550083,0.15136572740708207,0.4864293971594737,0.27999446083730783
2884,1956,0,1,9,13,3,51,823,21,7,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-01-01,941353,0.104,489.0,3.0637,14.4899,-1.3179,-0.021268139366608763,-1,1,0,0,0,0,-0.7469296719816955,-1.92890386832148,0.27948962272655226,-1.2066186897075766,-0.6619190955972976
2495,1708,3,0,7,23,7,42,680,20,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-02-01,941353,0.2806,213.5,2.6504,-13.4882,-0.4693,0.1190863364614187,1,0,0,0,0,0,0.25347165147776946,0.16237215369033411,0.06101989328770604,-1.0746967099628841,0.41971096582232975
2739,1820,2,1,10,22,5,66,768,41,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-03-01,941353,0.1825,303.3333,2.9096,9.7796,-1.0014,0.10562450804616041,1,0,0,0,0,0,-0.05171878388743241,-0.4305947960997196,0.33363304934022514,-0.4304571739083061,-0.04374961733181845
2227,1465,0,2,5,10,9,45,655,34,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-04-01,941353,0.4041,146.5,2.3657,-18.693,-0.1904,0.076631998807206,1,0,0,0,0,0,0.234222880056021,0.21462567049937362,-0.40314093169240456,-1.9297762768080513,0.3464651571885151
2429,1603,5,0,11,19,10,41,707,30,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-05-01,941353,0.4117,145.7273,2.5803,9.0705,-0.0914,0.13639070271415699,1,0,0,0,0,0,0.2927301480097425,0.3257682295153806,-0.20154069533980282,-0.3397485885820419,0.33678042251096185
2486,1698,4,1,10,25,7,35,684,20,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-06-01,941353,0.2816,212.25,2.6409,2.3466,-0.5184,0.16443668961668995,1,0,0,0,0,0,0.3385042881182381,0.14277901194058623,0.043686716333113655,0.4113414574322041,0.4907632234272743
2320,1562,0,2,7,22,6,48,657,14,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-07-01,941353,0.2586,223.1429,2.4645,-6.6774,-0.714,0.14932476261538086,1,0,0,0,0,0,0.3064100070604994,0.10913419007651269,-0.21279264801074269,0.2438775604746384,0.42595741868216896
2335,1586,0,0,5,15,5,31,676,16,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-08-01,941353,0.2141,264.3333,2.4805,0.6466,-0.838,0.14373471098412766,1,0,0,0,0,0,0.13454147830448826,-0.032636303940334226,-0.1991561655527028,0.4793102059059958,0.29057507950457195
2418,1645,2,1,3,25,7,42,678,14,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-09-01,941353,0.2895,205.625,2.5686,3.5546,-0.5092,0.1573578132313972,1,0,0,0,0,0,0.26913381223057964,0.20733306199063728,-0.0974081484381343,0.27921074089893494,0.5064746747627332
2226,1543,2,2,6,14,12,42,583,18,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-10-01,941353,0.5391,118.6923,2.3647,-7.9404,0.4315,0.12735955875172367,1,0,0,0,0,0,0.14934282143670075,0.3369345781761205,-0.39739118304496124,0.017783377341503488,-0.004660429093966007
2573,1689,0,3,5,13,5,70,769,16,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-11-01,941353,0.1943,281.5,2.7333,15.5885,-0.9264,0.07081165046622179,1,0,0,0,0,0,0.020314580822108498,-0.20179287746306263,0.13479025173801043,-1.7605351032073329,0.09261818451185044
2442,1632,2,1,13,16,6,53,686,28,5,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2023-12-01,941353,0.2457,233.1429,2.5941,-5.0913,-0.8107,0.15209369582181403,1,0,0,0,0,0,0.2844672693942992,0.02694379340900329,0.05459284197583932,0.32048297418342053,0.2861533269186426
2556,1722,0,1,7,23,5,52,714,28,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-01-01,941353,0.1956,287.0,2.7152,4.6683,-0.9737,0.12839828528278474,1,0,0,0,0,0,0.0686600667121777,-0.22483907788853136,0.12887615397816282,0.19552205668464442,-0.03066062705777797
2418,1614,1,1,8,20,7,57,682,24,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-02-01,941353,0.2895,201.75,2.5686,-5.3991,-0.5198,0.16121209343769832,1,0,0,0,0,0,0.2989827829267155,0.19801403007070742,-0.06453494124212542,0.3264643599294188,0.5480729701655046
2527,1690,3,2,8,24,5,66,694,33,2,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-03-01,941353,0.1979,281.6667,2.6844,4.5079,-0.8592,0.13812640834843648,1,0,0,0,0,0,0.029832616846117384,-0.1882874738022316,0.1597475765859578,0.23312068700747005,0.2402978209320108
2458,1613,0,1,2,23,18,52,693,52,4,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-04-01,941353,0.7323,84.8947,2.6111,-2.7305,0.9488,0.11372832889182077,1,0,0,0,0,0,-0.34176989140505687,0.00944428562918726,-0.03983822721705522,0.39779578655581055,-0.38238380274759465
2452,1639,3,1,8,19,7,39,700,35,1,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-05-01,941353,0.2855,204.875,2.6048,-0.2441,-0.6038,0.16442257837705854,1,0,0,0,0,0,0.2898937045218424,0.17970591602228972,0.007877490917303939,0.46215541789868697,0.4869145715231042
2284,1532,0,1,9,31,8,40,629,31,3,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE INTEGRATED CARE BOARD",2024-06-01,941353,0.3503,170.2222,2.4263,-6.8515,-0.3789,0.14943356431385324,1,0,0,0,0,0,0.3048851425084579,0.2266530062947,-0.3453770116692353,0.24088911194712073,0.4494550031958553
